[ 2025-03-21 21:01:11,960 ] 14 - root - INFO - Initiate the data ingestion
[ 2025-03-21 21:02:32,469 ] 65 - root - INFO - Performed train test split on the dataframe
[ 2025-03-21 21:02:32,470 ] 67 - root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-21 21:02:32,478 ] 75 - root - INFO - Exporting train and test file path.
[ 2025-03-21 21:02:37,992 ] 84 - root - INFO - Exported train and test file path.
[ 2025-03-21 21:02:38,332 ] 16 - root - INFO - Data Ingestion completed
[ 2025-03-21 21:02:38,339 ] 20 - root - INFO - Initiate the data validation
[ 2025-03-21 21:02:39,209 ] 34 - root - INFO - Required number of columns: 3
[ 2025-03-21 21:02:39,211 ] 35 - root - INFO - Dataframe has: 7 number of columns
[ 2025-03-21 21:02:39,213 ] 34 - root - INFO - Required number of columns: 3
[ 2025-03-21 21:02:39,214 ] 35 - root - INFO - Dataframe has: 7 number of columns
[ 2025-03-21 21:02:53,765 ] 22 - root - INFO - Data validation completed
